date,store,category,item,color,spec,sales,theft_event,theft_qty,stock
2024-01-01,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,3,False,0,97
2024-01-02,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,0,False,0,97
2024-01-03,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,3,True,1,93
2024-01-04,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,2,False,0,91
2024-01-05,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,1,False,0,90
2024-01-06,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,2,False,0,88
2024-01-07,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,2,False,0,86
2024-01-08,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,2,False,0,84
2024-01-09,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,1,True,1,82
2024-01-10,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,3,False,0,79
2024-01-11,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,1,False,0,78
2024-01-12,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,0,False,0,78
2024-01-13,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,2,False,0,76
2024-01-14,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,1,True,1,74
2024-01-15,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,5,False,0,69
2024-01-16,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,0,False,0,69
2024-01-17,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,1,False,0,68
2024-01-18,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,1,False,0,67
2024-01-19,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,0,False,0,67
2024-01-20,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,0,True,1,66
2024-01-21,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,1,False,0,65
2024-01-22,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,4,False,0,61
2024-01-23,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,0,False,0,61
2024-01-24,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,2,False,0,59
2024-01-25,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,2,False,0,57
2024-01-26,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,1,False,0,56
2024-01-27,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,3,False,0,53
2024-01-28,Store A,Electronics,Apple iPhone 15 Pro Max,Black,256GB,1,False,0,52
