date,store,category,item,sales,theft_event,theft_qty,stock
2024-01-01,Store A,Electronics,Smartphone,4,False,0,496
2024-01-02,Store A,Electronics,Smartphone,2,False,0,494
2024-01-03,Store A,Electronics,Smartphone,0,True,2,492
2024-01-04,Store A,Electronics,Smartphone,1,True,1,490
2024-01-05,Store A,Electronics,Smartphone,3,False,0,487
2024-01-06,Store A,Electronics,Smartphone,1,False,0,486
2024-01-07,Store A,Electronics,Smartphone,3,False,0,483
2024-01-08,Store A,Electronics,Smartphone,0,False,0,483
2024-01-09,Store A,Electronics,Smartphone,1,True,2,480
2024-01-10,Store A,Electronics,Smartphone,2,False,0,478
2024-01-11,Store A,Electronics,Smartphone,4,False,0,474
2024-01-12,Store A,Electronics,Smartphone,3,False,0,471
2024-01-13,Store A,Electronics,Smartphone,0,False,0,471
2024-01-14,Store A,Electronics,Smartphone,4,False,0,467
2024-01-15,Store A,Electronics,Smartphone,8,False,0,459
2024-01-16,Store A,Electronics,Smartphone,1,False,0,458
2024-01-17,Store A,Electronics,Smartphone,2,False,0,456
2024-01-18,Store A,Electronics,Smartphone,8,False,0,448
2024-01-19,Store A,Electronics,Smartphone,4,False,0,444
2024-01-20,Store A,Electronics,Smartphone,4,False,0,440
2024-01-21,Store A,Electronics,Smartphone,2,False,0,438
2024-01-22,Store A,Electronics,Smartphone,4,False,0,434
2024-01-23,Store A,Electronics,Smartphone,4,False,0,430
2024-01-24,Store A,Electronics,Smartphone,2,False,0,428
2024-01-25,Store A,Electronics,Smartphone,3,False,0,425
2024-01-26,Store A,Electronics,Smartphone,4,False,0,421
2024-01-27,Store A,Electronics,Smartphone,2,False,0,419
2024-01-28,Store A,Electronics,Smartphone,2,False,0,417
2024-01-29,Store A,Electronics,Smartphone,2,False,0,415
2024-01-30,Store A,Electronics,Smartphone,2,False,0,413
2024-01-31,Store A,Electronics,Smartphone,2,True,2,409
2024-02-01,Store A,Electronics,Smartphone,1,False,0,408
2024-02-02,Store A,Electronics,Smartphone,1,False,0,407
2024-02-03,Store A,Electronics,Smartphone,4,False,0,403
2024-02-04,Store A,Electronics,Smartphone,4,False,0,399
2024-02-05,Store A,Electronics,Smartphone,2,False,0,397
2024-02-06,Store A,Electronics,Smartphone,1,False,0,396
2024-02-07,Store A,Electronics,Smartphone,2,False,0,394
2024-02-08,Store A,Electronics,Smartphone,3,False,0,391
2024-02-09,Store A,Electronics,Smartphone,6,False,0,385
2024-02-10,Store A,Electronics,Smartphone,3,False,0,382
2024-02-11,Store A,Electronics,Smartphone,6,False,0,376
2024-02-12,Store A,Electronics,Smartphone,2,False,0,374
2024-02-13,Store A,Electronics,Smartphone,1,False,0,373
2024-02-14,Store A,Electronics,Smartphone,4,False,0,369
2024-02-15,Store A,Electronics,Smartphone,6,False,0,363
2024-02-16,Store A,Electronics,Smartphone,3,False,0,360
2024-02-17,Store A,Electronics,Smartphone,5,False,0,355
2024-02-18,Store A,Electronics,Smartphone,1,False,0,354
2024-02-19,Store A,Electronics,Smartphone,5,False,0,349
2024-02-20,Store A,Electronics,Smartphone,5,False,0,344
2024-02-21,Store A,Electronics,Smartphone,2,True,2,340
2024-02-22,Store A,Electronics,Smartphone,2,False,0,338
2024-02-23,Store A,Electronics,Smartphone,2,False,0,336
2024-02-24,Store A,Electronics,Smartphone,3,False,0,333
2024-02-25,Store A,Electronics,Smartphone,3,False,0,330
2024-02-26,Store A,Electronics,Smartphone,2,False,0,328
2024-02-27,Store A,Electronics,Smartphone,1,False,0,327
2024-02-28,Store A,Electronics,Smartphone,4,True,2,321
2024-02-29,Store A,Electronics,Smartphone,1,False,0,320
2024-03-01,Store A,Electronics,Smartphone,2,False,0,318
2024-03-02,Store A,Electronics,Smartphone,3,False,0,315
2024-03-03,Store A,Electronics,Smartphone,6,False,0,309
2024-03-04,Store A,Electronics,Smartphone,2,False,0,307
2024-03-05,Store A,Electronics,Smartphone,4,False,0,303
2024-03-06,Store A,Electronics,Smartphone,4,True,1,298
2024-03-07,Store A,Electronics,Smartphone,3,False,0,295
2024-03-08,Store A,Electronics,Smartphone,1,False,0,294
2024-03-09,Store A,Electronics,Smartphone,1,False,0,293
2024-03-10,Store A,Electronics,Smartphone,2,False,0,291
2024-03-11,Store A,Electronics,Smartphone,4,True,2,285
2024-03-12,Store A,Electronics,Smartphone,0,False,0,285
2024-03-13,Store A,Electronics,Smartphone,4,False,0,281
2024-03-14,Store A,Electronics,Smartphone,1,False,0,280
2024-03-15,Store A,Electronics,Smartphone,5,True,1,274
2024-03-16,Store A,Electronics,Smartphone,3,False,0,271
2024-03-17,Store A,Electronics,Smartphone,1,False,0,270
2024-03-18,Store A,Electronics,Smartphone,4,False,0,266
2024-03-19,Store A,Electronics,Smartphone,4,False,0,262
